3 0 3 .JKBB.IJKDD.I..AANEE.M.N..LMGG..LHHH A93 B91 D98 E92 G98 H87 I92 J97 K98 L95 M96 N99 
3 0 3 ..K.BBIJKDD.IJ.AANEE.M.N..LMGG..LHHH A93 B90 D98 E92 G98 H87 I92 J98 K98 L95 M96 N99 
3 0 3 I.KBB.IJKDD..J.AANEELM.N..LMGG..HHH. A93 B91 D98 E92 G98 H88 I93 J98 K98 L96 M96 N99 
3 0 3 I.KBB.IJKDD..J.AANEELM.N..LMGG.HHH.. A93 B91 D98 E92 G98 H89 I93 J98 K98 L96 M96 N99 
3 0 3 I.KBB.IJKDD..J.AANEEL..N..LMGGHHHM.. A93 B91 D98 E92 G98 H90 I93 J98 K98 L96 M95 N99 
3 0 3 I.KBB.IJKDDN.J.AANEELM....LMGGHHH... A93 B91 D98 E92 G98 H90 I93 J98 K98 L96 M96 N98 
3 0 3 I.KBB.IJK.DD.J.AANEELM.N..LMGGHHH... A93 B91 D97 E92 G98 H90 I93 J98 K98 L96 M96 N99 
3 0 3 .JKBB.IJKDD.I..AANEELM.N..LMGG...HHH A93 B91 D98 E92 G98 H87 I92 J97 K98 L96 M96 N99 
3 0 3 .JKBB.IJKDD.I..AANEELM.N..LMGG..HHH. A93 B91 D98 E92 G98 H88 I92 J97 K98 L96 M96 N99 
3 0 3 .JKBB.IJKDD.I..AANEELM.N..LMGG.HHH.. A93 B91 D98 E92 G98 H89 I92 J97 K98 L96 M96 N99 
3 0 3 .JKBB.IJKDD.I..AANEEL..N..LMGGHHHM.. A93 B91 D98 E92 G98 H90 I92 J97 K98 L96 M95 N99 
3 0 3 .JKBB.IJKDDNI..AANEELM....LMGGHHH... A93 B91 D98 E92 G98 H90 I92 J97 K98 L96 M96 N98 
3 0 3 .JKBB.IJK.DDI..AANEELM.N..LMGGHHH... A93 B91 D97 E92 G98 H90 I92 J97 K98 L96 M96 N99 
3 0 3 ..KBB.IJKDD.IJ.AANEELM.N..LMGG...HHH A93 B91 D98 E92 G98 H87 I92 J98 K98 L96 M96 N99 
3 0 3 ..KBB.IJKDD.IJ.AANEELM.N..LMGG..HHH. A93 B91 D98 E92 G98 H88 I92 J98 K98 L96 M96 N99 
3 0 3 ..KBB.IJKDD.IJ.AANEELM.N..LMGG.HHH.. A93 B91 D98 E92 G98 H89 I92 J98 K98 L96 M96 N99 
3 0 3 ..KBB.IJKDD.IJ.AANEEL..N..LMGGHHHM.. A93 B91 D98 E92 G98 H90 I92 J98 K98 L96 M95 N99 
3 0 3 ..KBB.IJKDDNIJ.AANEELM....LMGGHHH... A93 B91 D98 E92 G98 H90 I92 J98 K98 L96 M96 N98 
3 0 3 ..KBB.IJK.DDIJ.AANEELM.N..LMGGHHH... A93 B91 D97 E92 G98 H90 I92 J98 K98 L96 M96 N99 
3 0 3 ..K.BBIJKDD.IJ.AANEELM.N..LMGG...HHH A93 B92 D98 E92 G98 H87 I92 J98 K98 L96 M96 N99 
3 0 3 ..K.BBIJKDD.IJ.AANEELM.N..LMGG..HHH. A93 B92 D98 E92 G98 H88 I92 J98 K98 L96 M96 N99 
3 0 3 ..K.BBIJKDD.IJ.AANEELM.N..LMGG.HHH.. A93 B92 D98 E92 G98 H89 I92 J98 K98 L96 M96 N99 
3 0 3 ..K.BBIJKDD.IJ.AANEEL..N..LMGGHHHM.. A93 B92 D98 E92 G98 H90 I92 J98 K98 L96 M95 N99 
3 0 3 ..K.BBIJKDDNIJ.AANEELM....LMGGHHH... A93 B92 D98 E92 G98 H90 I92 J98 K98 L96 M96 N98 
3 0 3 ..K.BBIJK.DDIJ.AANEELM.N..LMGGHHH... A93 B92 D97 E92 G98 H90 I92 J98 K98 L96 M96 N99 
3 0 3 I.K.BBIJKDD..J.AANEELM.N..LMGG..HHH. A93 B92 D98 E92 G98 H88 I93 J98 K98 L96 M96 N99 
3 0 3 I.K.BBIJKDD..J.AANEELM.N..LMGG.HHH.. A93 B92 D98 E92 G98 H89 I93 J98 K98 L96 M96 N99 
3 0 3 I.K.BBIJKDD..J.AANEEL..N..LMGGHHHM.. A93 B92 D98 E92 G98 H90 I93 J98 K98 L96 M95 N99 
3 0 3 I.K.BBIJKDDN.J.AANEELM....LMGGHHH... A93 B92 D98 E92 G98 H90 I93 J98 K98 L96 M96 N98 
3 0 3 I.K.BBIJK.DD.J.AANEELM.N..LMGGHHH... A93 B92 D97 E92 G98 H90 I93 J98 K98 L96 M96 N99 
3 0 3 IJK.BBIJKDD....AANEEL..N..LMGGHHHM.. A93 B92 D98 E92 G98 H90 I93 J99 K98 L96 M95 N99 
3 0 3 IJK.BBIJKDDN...AANEELM....LMGGHHH... A93 B92 D98 E92 G98 H90 I93 J99 K98 L96 M96 N98 
3 0 3 IJK.BBIJK.DD...AANEELM.N..LMGGHHH... A93 B92 D97 E92 G98 H90 I93 J99 K98 L96 M96 N99 
3 0 3 IJK.BBIJKDD....AANEELM.N..LMGG.HHH.. A93 B92 D98 E92 G98 H91 I93 J99 K98 L96 M96 N99 
3 0 3 IJK.BBIJKDD....AANEELM.N..LMGG..HHH. A93 B92 D98 E92 G98 H92 I93 J99 K98 L96 M96 N99 
3 0 3 I.K.BBIJKDD..J.AANEELM.N..LMGG...HHH A93 B92 D98 E92 G98 H93 I93 J98 K98 L96 M96 N99 
3 0 3 .JK.BBIJKDD.I..AANEELM.N..LMGG...HHH A93 B92 D98 E92 G98 H93 I92 J99 K98 L96 M96 N99 
3 0 3 IJKBB.IJKDD....AANEELM.N..LMGG...HHH A93 B91 D98 E92 G98 H93 I93 J99 K98 L96 M96 N99 
3 0 3 I.K.BBIJKDD..J.AANEE.M.N..LMGG..LHHH A93 B92 D98 E92 G98 H93 I93 J98 K98 L97 M96 N99 
3 0 3 .JK.BBIJKDD.I..AANEE.M.N..LMGG..LHHH A93 B92 D98 E92 G98 H93 I92 J99 K98 L97 M96 N99 
3 0 3 IJKBB.IJKDD....AANEE.M.N..LMGG..LHHH A93 B91 D98 E92 G98 H93 I93 J99 K98 L97 M96 N99 
4 0 4 IJKBB.IJKDD....AAN.EEM.N..LMGG..LHHH A93 B91 D98 E91 G98 H93 I93 J99 K98 L97 M96 N99 
4 0 4 .JKBB..JKDD....AAN.EEM.NI.LMGGI.LHHH A93 B91 D98 E91 G98 H93 I89 J99 K98 L97 M96 N99 
4 0 4 .JKBB..JKDD....AANEE.M.NI.LMGGI.LHHH A93 B91 D98 E90 G98 H93 I89 J99 K98 L97 M96 N99 
4 0 4 .JKBB..JKDD....AANEELM.NI.LMGGI..HHH A93 B91 D98 E90 G98 H93 I89 J99 K98 L96 M96 N99 
4 0 4 ..KBB..JKDD..J.AANEE.M.NI.LMGGI.LHHH A93 B91 D98 E90 G98 H93 I89 J98 K98 L97 M96 N99 
4 0 4 .JK.BB.JKDD....AANEE.M.NI.LMGGI.LHHH A93 B90 D98 E90 G98 H93 I89 J99 K98 L97 M96 N99 
4 0 4 ..KBB..JKDD..J.AAN.EEM.NI.LMGGI.LHHH A93 B91 D98 E91 G98 H93 I89 J98 K98 L97 M96 N99 
4 0 4 ..K.BB.JKDD..J.AAN.EEM.NI.LMGGI.LHHH A93 B90 D98 E91 G98 H93 I89 J98 K98 L97 M96 N99 
4 0 4 .JK.BB.JKDD....AAN.EEM.NI.LMGGI.LHHH A93 B90 D98 E91 G98 H93 I89 J99 K98 L97 M96 N99 
4 0 4 IJKBB.IJKDDN...AANEE.M....LMGG..LHHH A93 B91 D98 E92 G98 H93 I93 J99 K98 L97 M96 N98 
4 0 4 IJKBB.IJKDD...AA.NEE.M.N..LMGG..LHHH A92 B91 D98 E92 G98 H93 I93 J99 K98 L97 M96 N99 
4 0 4 IJKBB.IJK.DD...AANEE.M.N..LMGG..LHHH A93 B91 D97 E92 G98 H93 I93 J99 K98 L97 M96 N99 
4 0 4 IJ.BB.IJKDD...KAANEE.M.N..LMGG..LHHH A93 B91 D98 E92 G98 H93 I93 J99 K97 L97 M96 N99 
