5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLG..EELG.FFF. B98 C98 D96 E96 F96 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLG..EELG.FFF. B98 C99 D96 E96 F96 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLG..EELG.FFF. B97 C99 D96 E96 F96 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LG..EELG..FFF B98 C99 D95 E96 F97 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLG..EELG..FFF B98 C98 D96 E96 F97 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLG..EELG..FFF B98 C99 D96 E96 F97 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLG..EELG..FFF B97 C99 D96 E96 F97 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLGEE..LG..FFF B98 C98 D96 E98 F97 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLGEE..LG..FFF B98 C99 D96 E98 F97 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLGEE..LG..FFF B97 C99 D96 E98 F97 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKL.CCDDLGEE..LGFFF.. B98 C98 D96 E98 F99 G99 J97 K97 L91 
5 0 5 .HIJBB.HIJK.AAI.KLCC.DDLGEE..LGFFF.. B98 C99 D96 E98 F99 G99 J96 K97 L91 
5 0 5 .HIBB..HIJK.AAIJKLCC.DDLGEE..LGFFF.. B97 C99 D96 E98 F99 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LGEE..LG..FFF B98 C99 D97 E98 F97 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LGEE..LG.FFF. B98 C99 D97 E98 F98 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJK.CCDD.LGEE..LGFFF.L B98 C99 D97 E98 F99 G99 J97 K97 L90 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LG..EELGFFF.. B98 C99 D97 E96 F99 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LG.EE.LGFFF.. B98 C99 D97 E97 F99 G99 J97 K97 L91 
5 0 5 .HI.BB.HIJKLAAIJKLCCDD.LGEE...GFFF.. B98 C99 D97 E98 F99 G99 J97 K97 L90 
6 0 6 .HI.BB.HIJ.LAAIJ.LCCDDKLGEE.K.GFFF.. B98 C99 D97 E98 F99 G99 J97 K95 L90 
6 0 6 .HI.BB.HIJ.LAAIJKLCCDDKLGEE...GFFF.. B98 C99 D97 E98 F99 G99 J97 K96 L90 
6 0 6 .HI.BB.HIJ..AAIJ.LCCDDKLG.EEKLGFFF.. B98 C99 D97 E97 F99 G99 J97 K95 L91 
6 0 6 .HI.BB.HIJ..AAIJKLCCDDKLG.EE.LGFFF.. B98 C99 D97 E97 F99 G99 J97 K96 L91 
6 0 6 .HI.BB.HIJ..AAIJKLCCDDKLG..EELGFFF.. B98 C99 D97 E96 F99 G99 J97 K96 L91 
6 0 6 .HI.BB.HIJ..AAIJ..CCDDKLGEE.KLGFFF.L B98 C99 D97 E98 F99 G99 J97 K95 L90 
6 0 6 .HI.BB.HIJ..AAIJK.CCDDKLGEE..LGFFF.L B98 C99 D97 E98 F99 G99 J97 K96 L90 
6 0 6 .HI.BB.HIJ..AAIJ.LCCDDKLGEE.KLG.FFF. B98 C99 D97 E98 F98 G99 J97 K95 L91 
6 0 6 .HI.BB.HIJ..AAIJKLCCDDKLGEE..LG.FFF. B98 C99 D97 E98 F98 G99 J97 K96 L91 
6 0 6 .HI.BB.HIJ..AAIJ.LCCDDKLGEE.KLG..FFF B98 C99 D97 E98 F97 G99 J97 K95 L91 
6 0 6 .HI.BB.HIJ..AAIJKLCCDDKLGEE..LG..FFF B98 C99 D97 E98 F97 G99 J97 K96 L91 
6 0 6 .HI.BB.HIJK.AAIJKLGCCDDLGEE..L.FFF.. B98 C98 D96 E98 F99 G98 J97 K97 L91 
6 0 6 .HIJBB.HIJK.AAI.KL.CCDDLGEE..LGFFF.. B98 C98 D96 E98 F99 G99 J96 K97 L91 
6 0 6 .HIBB..HIJK.AAIJKL.CCDDLGEE..LGFFF.. B97 C98 D96 E98 F99 G99 J97 K97 L91 
6 0 6 .HIBBL.HIJKLAAIJKL.CCDD.GEE...GFFF.. B97 C98 D96 E98 F99 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CCDD.GEE...G..FFF B97 C98 D96 E98 F97 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CCDD.G...EEG..FFF B97 C98 D96 E95 F97 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CCDD.G...EEG.FFF. B97 C98 D96 E95 F96 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CCDD.G.EE..G.FFF. B97 C98 D96 E93 F96 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CC.DDG.EE..G.FFF. B97 C98 D95 E93 F96 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CC.DDG.EE..G..FFF B97 C98 D95 E93 F95 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CC.DDG..EE.G..FFF B97 C98 D95 E92 F95 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CC.DDG..EE.GFFF.. B97 C98 D95 E92 F93 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKL.CC.DDG...EEGFFF.. B97 C98 D95 E91 F93 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDG...EE.FFF.. B97 C98 D95 E91 F93 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDG...EE...FFF B97 C98 D95 E91 F91 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDGEE......FFF B97 C98 D95 E88 F91 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDGEE.....FFF. B97 C98 D95 E88 F90 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDG..EE...FFF. B97 C98 D95 E86 F90 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDG...EE..FFF. B97 C98 D95 E91 F92 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDGEE....FFF.. B97 C98 D95 E88 F93 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLGCC.DDG.EE...FFF.. B97 C98 D95 E89 F93 G98 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLCC..DDG...EEGFFF.. B97 C97 D95 E91 F93 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLCC..DDG...EEG..FFF B97 C97 D95 E91 F91 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLCC..DDGEE...G..FFF B97 C97 D95 E88 F91 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLCC..DDGEE...G.FFF. B97 C97 D95 E88 F90 G99 J97 K97 L89 
6 0 6 .HIBBL.HIJKLAAIJKLCC..DDG..EE.G.FFF. B97 C97 D95 E86 F90 G99 J97 K97 L89 
6 0 6 .H.BBL.H.JKLAAIJKLCCI.DDG.IEE.G.FFF. B97 C97 D95 E86 F90 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCI.DDG.IEE.G.FFF. B96 C97 D95 E86 F90 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCI.DDG.IEE.G..FFF B96 C97 D95 E86 F89 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCI.DDG.I.EEG..FFF B96 C97 D95 E85 F89 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCI.DDG.I.EEGFFF.. B96 C97 D95 E85 F87 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCIDD.G.I.EEGFFF.. B96 C97 D94 E85 F87 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCIDD.G.I.EEG.FFF. B96 C97 D94 E85 F86 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G...EEG.FFF. B96 C97 D94 E85 F86 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G...EEG..FFF B96 C97 D94 E85 F85 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G..EE.G..FFF B96 C97 D94 E84 F85 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G..EE.GFFF.. B96 C97 D94 E84 F83 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCI.DDG..EE.GFFF.. B96 C97 D93 E84 F83 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAA.JKLCCIDD.G.IEE.G.IFFF B96 C97 D94 E84 F85 G99 I95 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAA.JKLCCIDD.G.I.EEG.IFFF B96 C97 D94 E85 F85 G99 I95 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G..EE.G.FFF. B96 C97 D94 E84 F86 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCI.DDG...EEG.FFF. B96 C97 D93 E85 F86 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCIDD.G.IEE.GFFF.. B96 C97 D94 E84 F87 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCIDD.G...EEGFFF.. B96 C97 D94 E85 F87 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCI.DDG...EEGFFF.. B96 C97 D95 E85 F87 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAA.JKLCCI.DDG.I.EEG.IFFF B96 C97 D95 E85 F89 G99 I97 J97 K97 L89 
5 0 5 .HBB.L.H.JKLAAIJKLCCIDD.G.I.EEG..FFF B96 C97 D94 E85 F89 G99 I98 J97 K97 L89 
5 0 5 .HBB.L.HIJKLAAIJKLCCI.DDG...EEG..FFF B96 C97 D95 E85 F89 G99 I97 J97 K97 L89 
