 F  left 2		98 .BBB..CCIJ.MAAIJ.MHDDKLMHEEKL.FF..GG 
 K  down 1		99 .BBB..CCIJ.MAAIJ.MHDD.LMHEEKL.FF.KGG 
 F right 1		99 .BBB..CCIJ.MAAIJ.MHDD.LMHEEKL..FFKGG 
 L    up 3		97 .BBBL.CCIJLMAAIJ.MHDD..MHEEK...FFKGG 
 K    up 1		99 .BBBL.CCIJLMAAIJ.MHDDK.MHEEK...FF.GG 
 H  down 1		99 .BBBL.CCIJLMAAIJ.M.DDK.MHEEK..HFF.GG 
 M  down 1		99 .BBBL.CCIJL.AAIJ.M.DDK.MHEEK.MHFF.GG 
 F right 1		99 .BBBL.CCIJL.AAIJ.M.DDK.MHEEK.MH.FFGG 
 H    up 1		99 .BBBL.CCIJL.AAIJ.MHDDK.MHEEK.M..FFGG 
 F  left 2		98 .BBBL.CCIJL.AAIJ.MHDDK.MHEEK.MFF..GG 
 K  down 1		99 .BBBL.CCIJL.AAIJ.MHDD..MHEEK.MFF.KGG 
 D right 2		98 .BBBL.CCIJL.AAIJ.MH..DDMHEEK.MFF.KGG 
 F right 1		99 .BBBL.CCIJL.AAIJ.MH..DDMHEEK.M.FFKGG 
 H  down 1		99 .BBBL.CCIJL.AAIJ.M...DDMHEEK.MHFFKGG 
 D  left 3		97 .BBBL.CCIJL.AAIJ.MDD...MHEEK.MHFFKGG 
 J  down 1		99 .BBBL.CCI.L.AAIJ.MDD.J.MHEEK.MHFFKGG 
 I  down 1		99 .BBBL.CC..L.AAIJ.MDDIJ.MHEEK.MHFFKGG 
 C right 2		98 .BBBL...CCL.AAIJ.MDDIJ.MHEEK.MHFFKGG 
 B  left 1		99 BBB.L...CCL.AAIJ.MDDIJ.MHEEK.MHFFKGG 
 M    up 2		98 BBB.LM..CCLMAAIJ.MDDIJ..HEEK..HFFKGG 
 L  down 3		97 BBB..M..CC.MAAIJ.MDDIJL.HEEKL.HFFKGG 
 M  down 1		99 BBB.....CC.MAAIJ.MDDIJLMHEEKL.HFFKGG 
 B right 3		97 ...BBB..CC.MAAIJ.MDDIJLMHEEKL.HFFKGG 
 M  down 1		99 ...BBB..CC..AAIJ.MDDIJLMHEEKLMHFFKGG 
 C right 2		98 ...BBB....CCAAIJ.MDDIJLMHEEKLMHFFKGG 
 I    up 2		98 ..IBBB..I.CCAA.J.MDD.JLMHEEKLMHFFKGG 
 D right 1		99 ..IBBB..I.CCAA.J.M.DDJLMHEEKLMHFFKGG 
 H    up 1		99 ..IBBB..I.CCAA.J.MHDDJLMHEEKLM.FFKGG 
 F  left 1		99 ..IBBB..I.CCAA.J.MHDDJLMHEEKLMFF.KGG 
 J    up 1		99 ..IBBB..IJCCAA.J.MHDD.LMHEEKLMFF.KGG 
 K    up 1		99 ..IBBB..IJCCAA.J.MHDDKLMHEEKLMFF..GG 
 G  left 2		98 ..IBBB..IJCCAA.J.MHDDKLMHEEKLMFFGG.. 
 M  down 1		99 ..IBBB..IJCCAA.J..HDDKLMHEEKLMFFGG.M 
 G right 1		99 ..IBBB..IJCCAA.J..HDDKLMHEEKLMFF.GGM 
 F right 1		99 ..IBBB..IJCCAA.J..HDDKLMHEEKLM.FFGGM 
 H  down 1		99 ..IBBB..IJCCAA.J...DDKLMHEEKLMHFFGGM 
 A right 1		99 ..IBBB..IJCC.AAJ...DDKLMHEEKLMHFFGGM 
 H    up 4		96 H.IBBBH.IJCC.AAJ...DDKLM.EEKLM.FFGGM 
 F  left 1		99 H.IBBBH.IJCC.AAJ...DDKLM.EEKLMFF.GGM 
 G  left 1		99 H.IBBBH.IJCC.AAJ...DDKLM.EEKLMFFGG.M 
 L  down 1		99 H.IBBBH.IJCC.AAJ...DDK.M.EEKLMFFGGLM 
 E  left 1		99 H.IBBBH.IJCC.AAJ...DDK.MEE.KLMFFGGLM 
 D  left 1		99 H.IBBBH.IJCC.AAJ..DD.K.MEE.KLMFFGGLM 
 L    up 1		99 H.IBBBH.IJCC.AAJ..DD.KLMEE.KLMFFGG.M 
 G right 1		99 H.IBBBH.IJCC.AAJ..DD.KLMEE.KLMFF.GGM 
 F right 1		99 H.IBBBH.IJCC.AAJ..DD.KLMEE.KLM.FFGGM 
 A  left 1		99 H.IBBBH.IJCCAA.J..DD.KLMEE.KLM.FFGGM 
 I  down 3		97 H..BBBH..JCCAA.J..DDIKLMEEIKLM.FFGGM 
 F  left 1		99 H..BBBH..JCCAA.J..DDIKLMEEIKLMFF.GGM 
 G  left 1		99 H..BBBH..JCCAA.J..DDIKLMEEIKLMFFGG.M 
 L  down 1		99 H..BBBH..JCCAA.J..DDIK.MEEIKLMFFGGLM 
 A right 1		99 H..BBBH..JCC.AAJ..DDIK.MEEIKLMFFGGLM 
 H  down 1		99 ...BBBH..JCCHAAJ..DDIK.MEEIKLMFFGGLM 
 L    up 1		99 ...BBBH..JCCHAAJ..DDIKLMEEIKLMFFGG.M 
 G right 1		99 ...BBBH..JCCHAAJ..DDIKLMEEIKLMFF.GGM 
 F right 1		99 ...BBBH..JCCHAAJ..DDIKLMEEIKLM.FFGGM 
 B  left 3		97 BBB...H..JCCHAAJ..DDIKLMEEIKLM.FFGGM 
 J    up 1		99 BBBJ..H..JCCHAA...DDIKLMEEIKLM.FFGGM 
