1 0 1 .BBCC.DD..L..AA.L.HEEEL.HIJKFFHIJKGG A90 B97 C95 D94 E93 F99 G97 H77 I92 J98 K96 L98 
1 0 1 .BBCC.DD..L.HAA.L.HEEEL.HIJKFF.IJKGG A90 B97 C95 D94 E93 F99 G97 H76 I92 J98 K96 L98 
1 0 1 .BBCC.DD..L.H.AAL.HEEEL.HIJKFF.IJKGG A89 B97 C95 D94 E93 F99 G97 H76 I92 J98 K96 L98 
1 0 1 .BBCC...DDL.H.AAL.HEEEL.HIJKFF.IJKGG A89 B97 C95 D92 E93 F99 G97 H76 I92 J98 K96 L98 
1 0 1 .BBCC.H.DDL.H.AAL.HEEEL..IJKFF.IJKGG A89 B97 C95 D92 E93 F99 G97 H75 I92 J98 K96 L98 
1 0 1 .BB.CCH.DDL.H.AAL.HEEEL..IJKFF.IJKGG A89 B97 C94 D92 E93 F99 G97 H75 I92 J98 K96 L98 
1 0 1 .BB.CC..DDL...AAL.HEEEL.HIJKFFHIJKGG A89 B97 C94 D92 E93 F99 G97 H73 I92 J98 K96 L98 
1 0 1 .BB.CC..DDL.AA..L.HEEEL.HIJKFFHIJKGG A87 B97 C94 D92 E93 F99 G97 H73 I92 J98 K96 L98 
1 0 1 .BB.CCDD..L.AA..L.HEEEL.HIJKFFHIJKGG A87 B97 C94 D90 E93 F99 G97 H73 I92 J98 K96 L98 
1 0 1 ..BBCCDD..L.AA..L.HEEEL.HIJKFFHIJKGG A87 B96 C94 D90 E93 F99 G97 H73 I92 J98 K96 L98 
1 0 1 ..BBCCDD..L...AAL.HEEEL.HIJKFFHIJKGG A85 B96 C94 D90 E93 F99 G97 H73 I92 J98 K96 L98 
1 0 1 ..BBCCDD..L.H.AAL.HEEEL.HIJKFF.IJKGG A85 B96 C94 D90 E93 F99 G97 H72 I92 J98 K96 L98 
1 0 1 ..BBCCDD..L.HAA.L.HEEEL.HIJKFF.IJKGG A84 B96 C94 D90 E93 F99 G97 H72 I92 J98 K96 L98 
1 0 1 ..BBCC..DDL.HAA.L.HEEEL.HIJKFF.IJKGG A84 B96 C94 D88 E93 F99 G97 H72 I92 J98 K96 L98 
1 0 1 ..BBCC..DDL..AA.L.HEEEL.HIJKFFHIJKGG A84 B96 C94 D88 E93 F99 G97 H71 I92 J98 K96 L98 
1 0 1 H.BBCCH.DDL.HAA.L..EEEL..IJKFF.IJKGG A84 B96 C94 D88 E93 F99 G97 H70 I92 J98 K96 L98 
1 0 1 H.BBCCH.DDL.HAA.L.EEE.L..IJKFF.IJKGG A84 B96 C94 D88 E92 F99 G97 H70 I92 J98 K96 L98 
1 0 1 H.BBCCH.DDL.HAA.L.EEEKL..IJKFF.IJ.GG A84 B96 C94 D88 E92 F99 G97 H70 I92 J98 K95 L98 
1 0 1 H.BBCCH.DDL.HAA.L.EEEKL..IJKFF.IJGG. A84 B96 C94 D88 E92 F99 G96 H70 I92 J98 K95 L98 
1 0 1 H.BBCCH.DDL.H.AAL.EEEKL..IJKFF.IJGG. A83 B96 C94 D88 E92 F99 G96 H70 I92 J98 K95 L98 
1 0 1 H.BBCCHDD.L.H.AAL.EEEKL..IJKFF.IJGG. A83 B96 C94 D87 E92 F99 G96 H70 I92 J98 K95 L98 
1 0 1 H.BBCCHDD.L.H.AAL.EEEKL..IJKFF.IJ.GG A83 B96 C94 D87 E92 F99 G95 H70 I92 J98 K95 L98 
1 0 1 H.BBCCHDD.L.H.AAL.EEE.L..IJKFF.IJKGG A83 B96 C94 D87 E92 F99 G95 H70 I92 J98 K94 L98 
1 0 1 H.BBCCHDD.L.H.AAL..EEEL..IJKFF.IJKGG A83 B96 C94 D87 E91 F99 G95 H70 I92 J98 K94 L98 
1 0 1 ..BBCCHDD.L.H.AAL.HEEEL..IJKFF.IJKGG A83 B96 C94 D87 E91 F99 G95 H69 I92 J98 K94 L98 
1 0 1 HBB.CCH.DDL.H.AAL.EEEKL..IJKFF.IJGG. A83 B95 C94 D88 E92 F99 G96 H70 I92 J98 K95 L98 
1 0 1 HBB.CCH.DDL.H.AAL.EEEKL..IJKFF.IJ.GG A83 B95 C94 D88 E92 F99 G95 H70 I92 J98 K95 L98 
1 0 1 HBB.CCH.DDL.H.AAL.EEE.L..IJKFF.IJKGG A83 B95 C94 D88 E92 F99 G95 H70 I92 J98 K94 L98 
1 0 1 H.BBCCHDD.L.HAA.L.EEEKL..IJKFF.IJGG. A84 B96 C94 D87 E92 F99 G96 H70 I92 J98 K95 L98 
